epoch,train_loss,train_accuracy,test_loss,test_accuracy
6,0.06135331109926865,0.9893226559893227,0.45498204495645944,0.8795305488436314
7,0.045950205299927466,0.9941608274941608,0.44362265971953146,0.8803935105281325
8,0.035908426369752014,0.9966633299966633,0.4496153379010257,0.8797031411805316
9,0.027646059456878317,0.9984984984984985,0.458924879443092,0.8776320331377286
10,0.022614669827896634,0.9996663329996663,0.4476651219181102,0.8816016568864342
11,0.01965434566385047,0.9996663329996663,0.4524603284661384,0.880048325854332
12,0.01671925742486178,0.9993326659993327,0.45318109316710853,0.8805661028650328
13,0.014543313170420574,0.9998331664998331,0.4570241929975447,0.8786675871591302
14,0.01239468653499583,1.0,0.4571700936448874,0.8845357266137384
15,0.011679161581762998,0.9998331664998331,0.4634336248235658,0.8828098032447359
16,0.009762489155474348,1.0,0.4607730210110324,0.8840179496030376
17,0.008860218122851354,1.0,0.46656750238889205,0.881429064549534
18,0.007988664785864297,1.0,0.46885944852489086,0.8836727649292372
19,0.0072942635008408346,1.0,0.47287495411137775,0.8816016568864342
20,0.006732871618916144,1.0,0.47570646557960794,0.8831549879185364
